,name,style,brewery_id,id,abv,ibu,ounces
1817,Autumnation (2011-12) (2011),Pumpkin Ale,46,512,0.06,48.0,16.0
1818,The Crisp (2011),German Pilsener,46,425,0.054000000000000006,42.0,16.0
1819,Sweet Action (2011),Cream Ale,46,424,0.052000000000000005,34.0,16.0
1820,Righteous Ale (2011),Rye Beer,46,423,0.063,57.0,16.0
1821,Bengali Tiger (2011),American IPA,46,422,0.064,62.0,16.0
1822,Rudie Session IPA,American IPA,264,1942,0.045,,12.0
1823,Taster's Choice,Doppelbock,264,1708,0.07400000000000001,,12.0
1824,Modus Hoperandi,American IPA,264,1521,0.068,65.0,12.0
1825,Estival Cream Stout,American Stout,264,1297,0.058,15.0,12.0
1826,Vernal Minthe Stout,American Stout,264,1192,0.058,,12.0
1827,Hibernal Vinifera Stout,Foreign / Export Stout,264,1013,0.08,,12.0
1828,Autumnal Molé Stout,American Stout,264,774,,,12.0
1829,Mexican Logger,American Pale Lager,264,386,0.042,18.0,12.0
1830,True Blonde Ale,American Blonde Ale,264,70,0.053,,12.0
1831,Euphoria Pale Ale,American Pale Ale (APA),264,69,0.061,,12.0
1832,ESB Special Ale,Extra Special / Strong Bitter (ESB),264,68,0.057,58.0,12.0
1833,Iron Butt Red Ale,American Amber / Red Ale,313,1792,0.058,39.0,12.0
1834,Initial Point India Pale Ale,American IPA,313,1609,0.071,92.0,12.0
1835,Monkey Dancing On A Razor Blade,Belgian IPA,64,2537,0.085,,24.0
1836,Tripel Deke,Tripel,64,2536,0.08199999999999999,,24.0
1837,Urban Wilderness Pale Ale,English Pale Ale,557,30,0.049,,12.0
1838,Homefront IPA,American IPA,163,2305,0.06,70.0,12.0
1839,Sly Fox Christmas Ale 2013,Winter Warmer,371,1588,0.055,16.0,12.0
1840,Grisette,Grisette,371,1363,0.056,25.0,12.0
1841,360° India Pale Ale,American IPA,371,1211,0.062,,12.0
1842,Helles Golden Lager,Munich Helles Lager,371,1123,0.049,18.0,12.0
1843,Sly Fox Christmas Ale 2012 (2012),Winter Warmer,371,926,0.055,16.0,12.0
1844,Odyssey Imperial IPA,American Double / Imperial IPA,371,894,0.084,90.0,12.0
1845,Oktoberfest Lager,Märzen / Oktoberfest,371,166,0.058,25.0,12.0
1846,113 IPA,American IPA,371,24,0.07,113.0,12.0
1847,Dunkel Lager,Munich Dunkel Lager,371,23,0.053,21.0,12.0
1848,Royal Weisse Ale,Hefeweizen,371,22,0.056,11.0,12.0
1849,Pikeland Pils,German Pilsener,371,21,0.049,44.0,12.0
1850,Phoenix Pale Ale,American Pale Ale (APA),371,20,0.051,40.0,12.0
1851,Rule G IPA,American IPA,115,2407,0.07,88.0,12.0
1852,Murphy's Law,American Amber / Red Ale,115,2406,0.058,35.0,12.0
1853,Alter Ego ,Saison / Farmhouse Ale,115,2405,0.062,33.0,12.0
1854,Monarch Pilsner,American Pilsner,191,2234,0.05,,12.0
1855,Snow King Pale Ale,American Pale Ale (APA),191,1606,0.06,55.0,12.0
1856,Zonker Stout,Foreign / Export Stout,191,617,0.054000000000000006,36.0,12.0
1857,OB-1 Organic Ale,English Brown Ale,191,407,0.05,22.0,12.0
1858,Snake River Lager,Vienna Lager,191,406,0.05,18.0,12.0
1859,Snake River Pale Ale,American Pale Ale (APA),191,402,0.052000000000000005,32.0,12.0
1860,Pako’s EyePA,American IPA,191,393,0.068,60.0,12.0
1861,Thanksgiving Ale,Kölsch,309,1798,0.05,,12.0
1862,Double Dagger Imperial IPA,American Double / Imperial IPA,309,1655,0.092,,12.0
1863,Dagger Falls IPA,American IPA,309,1596,0.063,100.0,12.0
1864,Socktoberfest,Märzen / Oktoberfest,309,1482,0.06,,16.0
1865,Hopnoxious Imperial IPA,American Double / Imperial IPA,309,1447,0.079,,12.0
1866,Barrel Aged Seven Devils Imperial Stout,American Double / Imperial Stout,309,1425,0.099,,12.0
1867,Boise Co-Op Two Score Ale,Saison / Farmhouse Ale,309,1424,0.055,,16.0
1868,Sockeye Belgian Style Summer Ale,Witbier,309,1298,0.05,,16.0
1869,Sockeye Maibock,Maibock / Helles Bock,309,1181,0.064,,12.0
1870,Old Devil's Tooth,American Barleywine,309,1160,0.099,100.0,12.0
1871,Galena Golden,American Blonde Ale,309,1152,0.043,,12.0
1872,Hell-Diver Pale Ale,American Pale Ale (APA),309,1151,0.052000000000000005,32.0,12.0
1873,Woolybugger Wheat,American Pale Wheat Ale,309,1150,0.046,12.0,12.0
1874,Power House Porter,American Porter,309,1076,0.057,,12.0
1875,Winterfest,American Strong Ale,309,995,0.084,90.0,16.0
1876,LuckenBock,Bock,257,1972,0.07,18.0,16.0
1877,Texas Pale Ale (TPA),American IPA,257,1971,0.055,40.0,16.0
1878,6 String Saison,Saison / Farmhouse Ale,257,1970,0.08,,16.0
1879,Kol' Beer,Kölsch,257,1969,0.05,22.0,16.0
1880,Montauk Light,Light Lager,249,2024,0.035,,12.0
1881,Na Zdraví Pilsner,Czech Pilsener,436,1283,0.048,32.0,16.0
1882,Nice Rack IPA,American IPA,436,1282,0.055,65.0,16.0
1883,2014 IPA Cicada Series,American IPA,133,2362,0.075,72.0,16.0
1884,Sinister Minister Black IPA,American IPA,133,2346,0.077,65.0,16.0
1885,Jack the Sipper,Extra Special / Strong Bitter (ESB),133,2320,0.053,45.0,12.0
1886,Devil's Harvest Extra Pale Ale,American Pale Ale (APA),133,2297,0.058,60.0,12.0
1887,Suzy B Dirty Blonde Ale,American Blonde Ale,133,2296,0.05,20.0,12.0
1888,Mississippi Fire Ant,American Amber / Red Ale,133,1745,0.08,80.0,16.0
1889,Hipster Breakfast,Oatmeal Stout,133,1120,0.058,40.0,16.0
1890,Pine Belt Pale Ale,American Pale Ale (APA),118,2387,0.065,45.0,12.0
1891,Walloon,Saison / Farmhouse Ale,118,2267,0.055,,12.0
1892,Le Mort Vivant,Bière de Garde,118,1740,0.069,23.0,12.0
1893,Red Cockaded Ale,American Double / Imperial IPA,118,1728,0.085,110.0,12.0
1894,Valkyrie Double IPA,American Double / Imperial IPA,118,1497,0.092,100.0,12.0
1895,Red Cockaded Ale (2013),American Double / Imperial IPA,118,1011,0.085,110.0,12.0
1896,Old Potentate,Old Ale,118,1010,0.07200000000000001,40.0,12.0
1897,Bombshell Blonde,American Blonde Ale,118,856,0.05,20.0,16.0
1898,PRO-AM (2012) (2012),American Double / Imperial IPA,118,853,0.099,100.0,12.0
1899,Walloon (2014),Saison / Farmhouse Ale,118,691,0.055,,12.0
1900,Le Mort Vivant (2011),Bière de Garde,118,555,0.069,23.0,12.0
1901,Buried Hatchet Stout,Foreign / Export Stout,118,46,0.083,50.0,12.0
1902,Baby Daddy Session IPA,American IPA,78,2486,0.047,35.0,12.0
1903,Hopluia (2004),English India Pale Ale (IPA),508,763,,,16.0
1904,Ball & Chain (2014),American Pale Ale (APA),175,2271,0.058,,16.0
1905,Bitter Biker Double IPA,American Double / Imperial IPA,175,2206,0.096,,16.0
1906,God Damn Pigeon Porter,American Porter,175,2136,0.08199999999999999,,16.0
1907,Working for the Weekend,American Double / Imperial IPA,175,2135,0.079,,16.0
1908,Angry Adam,American Amber / Red Ale,175,2134,0.06,,16.0
1909,Freedom Fries,American Stout,175,2109,0.055,,16.0
1910,Ghost Bike Pale Ale,American Pale Ale (APA),175,1820,0.073,,16.0
1911,Spiteful IPA,American IPA,175,1819,0.062,,12.0
1912,Alley Time,American Pale Ale (APA),175,1634,0.06,,12.0
1913,Fat Badger,Irish Red Ale,175,1633,0.058,,12.0
1914,In the Weeds,American Pale Wheat Ale,175,1632,0.055,,12.0
1915,Special Amber,Vienna Lager,498,855,0.05,22.0,12.0
1916,Seven Gates Pale Ale,American Pale Ale (APA),372,1587,0.056,,12.0
1917,Gunga Din,Cider,186,2242,0.052000000000000005,,16.0
1918,Starr Pils,German Pilsener,383,1544,0.042,20.0,12.0
1919,Northern Lights India Pale Ale,American IPA,383,1205,0.065,52.0,16.0
1920,Festie,Märzen / Oktoberfest,383,369,0.048,12.0,12.0
1921,Third Eye Enlightened Pale Ale,American Pale Ale (APA),119,2386,0.065,65.0,12.0
1922,Colorado Kölsch,Kölsch,119,92,0.049,17.0,12.0
1923,Steam Engine Lager,American Amber / Red Lager,119,91,0.057,25.0,12.0
1924,Third Eye Pale Ale,American IPA,119,90,0.065,65.0,12.0
1925,Point Special (Current),American Adjunct Lager,131,2366,0.047,9.0,12.0
1926,Point Special,American Adjunct Lager,131,2365,0.047,9.0,12.0
1927,Point Cascade Pale Ale (2013),American Pale Ale (APA),131,2270,0.054000000000000006,33.0,12.0
